program,routeOrSite,stationOrPoint,latitude,longitude
cwmp,cwmp1653,p1,42.648524,-86.198085
cwmp,cwmp1655,p1,42.662386,-86.198776
cwmp,cwmp167,p1,44.06714899,-76.15162301
cwmp,cwmp1670,p1,44.61779301,-87.44557746
cwmp,cwmp1670,p2,44.64657898,-87.46657999
cwmp,cwmp1670,p3,44.67537987,-87.48300215
cwmp,cwmp1670,p4,44.67015199,-87.478935
cwmp,cwmp1678,p1,45.08409463,-87.06740451
cwmp,cwmp1678,p1M,45.08424601,-87.06650304
cwmp,cwmp1680,p1,45.22341896,-87.03709899
cwmp,cwmp1681,p1,45.22961,-87.03905004
cwmp,cwmp1681,p2,45.24582001,-87.04851002
cwmp,cwmp1681,p2M,45.22543,-87.03632
cwmp,cwmp1686,p1,44.82477807,-87.34830086
cwmp,cwmp1687,p1,44.87751701,-87.43118699
cwmp,cwmp1697,p1,44.648279,-88.00546696
cwmp,cwmp1697,p2,44.64015299,-88.00985598
cwmp,cwmp1697,p3,44.63547396,-88.010234
cwmp,cwmp1697,p4,44.64437404,-88.01049904
cwmp,cwmp1697,p5,44.63201702,-88.01633502
cwmp,cwmp1698,p1,44.70633499,-87.99244702
cwmp,cwmp1698,p2,44.70179502,-87.99308999
cwmp,cwmp1698,p3,44.69722998,-87.99291003
cwmp,cwmp1698,p4,44.69326224,-87.99311765
cwmp,cwmp1700,p1,44.96353,-87.77870203
cwmp,cwmp1701,p1,45.00043804,-87.62614704
cwmp,cwmp1702,p1,45.04482298,-87.625839
cwmp,cwmp1703,p1,45.08341896,-87.588936
cwmp,cwmp1703,p1M,45.08251,-87.58897
cwmp,cwmp1703,p2,45.07862175,-87.58535215
cwmp,cwmp1703,p2M,45.07869,-87.58804
cwmp,cwmp1703,p3,45.08119198,-87.58602899
cwmp,cwmp1703,p3M,45.08009,-87.58804
cwmp,cwmp1703,p4,45.08606203,-87.58946699
cwmp,cwmp1703,p5,45.07365103,-87.58066499
cwmp,cwmp1704,p1,45.09185501,-87.59367898
cwmp,cwmp1704,p1M,45.09187798,-87.59386397
cwmp,cwmp1708,p1,45.50258,-87.28840998
cwmp,cwmp1708,p2,45.50734201,-87.28705396
cwmp,cwmp1708,p3,45.57253998,-87.24366998
cwmp,cwmp1708,p4,45.56932996,-87.24970998
cwmp,cwmp171,p1,44.080682,-76.207924
cwmp,cwmp1720,p1,45.87193703,-87.01002502
cwmp,cwmp1720,p2,45.87737597,-87.004154
cwmp,cwmp1732,p1,45.702348,-86.942185
cwmp,cwmp1732,p2,45.70438094,-86.93530354
cwmp,cwmp1732,p3,45.70287639,-86.92389451
cwmp,cwmp1739,p1,45.79001701,-86.80873202
cwmp,cwmp1739,p2,45.77739604,-86.80102
cwmp,cwmp1743,p3,45.802212,-86.778628
cwmp,cwmp1743,p4,45.79744102,-86.781764
cwmp,cwmp1745,p1,45.81202797,-86.77311497
cwmp,cwmp1747,p1,45.85996198,-86.73685603
cwmp,cwmp1747,p2,45.84456098,-86.71973901
cwmp,cwmp1751,p1,45.85359399,-86.52819199
cwmp,cwmp1754,p1,45.77425199,-86.60529502
cwmp,cwmp1772,p1,46.01155196,-85.61576097
cwmp,cwmp1800,p1,45.89559202,-84.83848404
